"Land","Jahr","Kategorie","Wert"
"Vereinigte Arabische Emirate",2013,"KM3",8224635
"Bahrain",2013,"KM3",0
"Brunei",2013,"KM3",179700
"Hong-Kong",2013,"KM3",600
"Indien",2013,"KM3",312424
"Indonesien",2013,"KM3",130841
"Israel",2013,"KM3",0
"Japan",2013,"KM3",337535
"Jordanien",2013,"KM3",233646
"Katar",2013,"KM3",19258
"Südkorea",2013,"KM3",707579
"Kuwait",2013,"KM3",0
"Libanon",2013,"KM3",0
"Macau",2013,"KM3",572021
"Malaysia",2013,"KM3",199245
"Oman",2013,"KM3",815800
"Pakistan",2013,"KM3",0
"Saudi-Arabien",2013,"KM3",3400000
"Singapur",2013,"KM3",7437062
"Thailand",2013,"KM3",0
"Vietnam",2013,"KM3",340
"Australien",2013,"KM3",2296407
"Neuseeland",2013,"KM3",0
"Belgien",2014,"KM3",3245409
"Bosnien-Herzegowina",2014,"KM3",0
"Bulgarien",2014,"KM3",6051
"Dänemark",2014,"KM3",3356823
"Deutschland",2014,"KM3",45478378
"Estland",2014,"KM3",9426
"Finnland",2014,"KM3",36104
"Frankreich",2014,"KM3",4614625
"Georgien",2014,"KM3",0
"Griechenland",2014,"KM3",0
"Grossbritannien",2014,"KM3",220616
"Irland",2014,"KM3",0
"Island",2014,"KM3",0
"Italien",2014,"KM3",5859141
"Kosovo",2014,"KM3",33500
"Kroatien",2014,"KM3",72424
"Lettland",2014,"KM3",4532
"Litauen",2014,"KM3",0
"Luxemburg",2014,"KM3",108958
"Malta",2014,"KM3",74423
"Niederlande",2014,"KM3",178920
"Norwegen",2014,"KM3",720106
"Österreich",2014,"KM3",4527159
"Polen",2014,"KM3",329829
"Portugal",2014,"KM3",6408
"Rumänien",2014,"KM3",0
"Russland",2014,"KM3",0
"Schweden",2014,"KM3",7589537
"Slowakei",2014,"KM3",0
"Slowenien",2014,"KM3",185
"Spanien",2014,"KM3",960679
"Tschechien",2014,"KM3",16275
"Türkei",2014,"KM3",800
"Ukraine",2014,"KM3",10994
"Ungarn",2014,"KM3",2472047
"Kenia",2014,"KM3",3500
"Mauretanien",2014,"KM3",0
"Südafrika",2014,"KM3",17216
"Tunesien",2014,"KM3",0
"Niederländische Antillen",2014,"KM3",0
"Bermuda",2014,"KM3",8593
"Brasilien",2014,"KM3",2995804
"Chile",2014,"KM3",26370
"Ecuador",2014,"KM3",0
"Kanada",2014,"KM3",87705
"Paraguay",2014,"KM3",381860
"USA",2014,"KM3",3337909
"Vereinigte Arabische Emirate",2014,"KM3",12193091
"Bahrain",2014,"KM3",1095000
"Brunei",2014,"KM3",366822
"Hong-Kong",2014,"KM3",37000
"Indien",2014,"KM3",0
"Indonesien",2014,"KM3",4903179
"Israel",2014,"KM3",0
"Japan",2014,"KM3",440822
"Jordanien",2014,"KM3",0
"Kasachstan",2014,"KM3",18300
"Katar",2014,"KM3",223440
"Südkorea",2014,"KM3",1054773
"Kuwait",2014,"KM3",24681
"Libanon",2014,"KM3",0
"Macau",2014,"KM3",8416
"Malaysia",2014,"KM3",6
"Oman",2014,"KM3",1047336
"Pakistan",2014,"KM3",0
"Saudi-Arabien",2014,"KM3",0
"Singapur",2014,"KM3",582370
"Thailand",2014,"KM3",229500
"Vietnam",2014,"KM3",0
"Australien",2014,"KM3",180663
"Französisch-Polynesien",2014,"KM3",0
"Neuseeland",2014,"KM3",2000
"Belgien",2015,"KM3",1419215
"Bosnien-Herzegowina",2015,"KM3",5100
"Bulgarien",2015,"KM3",0
"Dänemark",2015,"KM3",3161537
"Deutschland",2015,"KM3",39053815
"Estland",2015,"KM3",139474
"Finnland",2015,"KM3",0
"Frankreich",2015,"KM3",1811786
"Griechenland",2015,"KM3",0
"Grossbritannien",2015,"KM3",11382097
"Irland",2015,"KM3",0
"Island",2015,"KM3",0
"Italien",2015,"KM3",4618460
"Kosovo",2015,"KM3",8161
"Kroatien",2015,"KM3",71845
"Lettland",2015,"KM3",2645
"Litauen",2015,"KM3",4101
"Luxemburg",2015,"KM3",90832
"Malta",2015,"KM3",0
"Niederlande",2015,"KM3",2368167
"Norwegen",2015,"KM3",4825489
"Österreich",2015,"KM3",4172059
"Polen",2015,"KM3",13093
"Portugal",2015,"KM3",446
"Rumänien",2015,"KM3",0
"Russland",2015,"KM3",0
"Schweden",2015,"KM3",2518272
"Slowakei",2015,"KM3",101506
"Slowenien",2015,"KM3",65802
"Spanien",2015,"KM3",1397001
"Tschechien",2015,"KM3",294024
"Türkei",2015,"KM3",0
"Ungarn",2015,"KM3",2192341
"Heiliger Stuhl",2015,"KM3",4900
"Zypern",2015,"KM3",0
"Ghana",2015,"KM3",0
"Kenia",2015,"KM3",0
"Senegal",2015,"KM3",0
"Südafrika",2015,"KM3",2351987
"Brasilien",2015,"KM3",0
"Chile",2015,"KM3",46168
"Dominikanische Republik",2015,"KM3",0
"Ecuador",2015,"KM3",0
"El Salvador",2015,"KM3",0
"Kanada",2015,"KM3",119797
"Mexiko",2015,"KM3",0
"Paraguay",2015,"KM3",378451
"Uruguay",2015,"KM3",0
"USA",2015,"KM3",8063351
"Vereinigte Arabische Emirate",2015,"KM3",6877571
"Bahrain",2015,"KM3",0
"Brunei",2015,"KM3",500225
"Hong-Kong",2015,"KM3",600
"Indien",2015,"KM3",26763
"Indonesien",2015,"KM3",143
"Israel",2015,"KM3",0
"Japan",2015,"KM3",452849
"Jordanien",2015,"KM3",0
"Katar",2015,"KM3",0
"Südkorea",2015,"KM3",2294688
"Kuwait",2015,"KM3",0
"Libanon",2015,"KM3",0
"Macau",2015,"KM3",303500
"Malaysia",2015,"KM3",951442
"Mongolei",2015,"KM3",236
"Oman",2015,"KM3",10300451
"Pakistan",2015,"KM3",0
"Saudi-Arabien",2015,"KM3",0
"Singapur",2015,"KM3",300
"Australien",2015,"KM3",207791
"Neuseeland",2015,"KM3",2895
"Belgien",2016,"KM3",1227574
"Bosnien-Herzegowina",2016,"KM3",6384
"Bulgarien",2016,"KM3",3500
"Dänemark",2016,"KM3",2469234
"Deutschland",2016,"KM3",52907115
"Estland",2016,"KM3",1049021
"Finnland",2016,"KM3",8736
"Frankreich",2016,"KM3",6902390
"Griechenland",2016,"KM3",5
"Grossbritannien",2016,"KM3",12893703
"Irland",2016,"KM3",0
"Island",2016,"KM3",0
"Italien",2016,"KM3",882629
"Kroatien",2016,"KM3",15451
"Lettland",2016,"KM3",52613
"Litauen",2016,"KM3",153569
"Luxemburg",2016,"KM3",251472
"Malta",2016,"KM3",0
"Niederlande",2016,"KM3",3072247
"Norwegen",2016,"KM3",5389961
"Österreich",2016,"KM3",2807867
"Polen",2016,"KM3",32846
"Portugal",2016,"KM3",18468
"Rumänien",2016,"KM3",0
"Schweden",2016,"KM3",12793251
"Serbien",2016,"KM3",38
"Slowakei",2016,"KM3",307938
"Slowenien",2016,"KM3",0
"Spanien",2016,"KM3",1122591
"Tschechische Rep.",2016,"KM3",286604
"Türkei",2016,"KM3",0
"Ungarn",2016,"KM3",1501706
"Zypern",2016,"KM3",0
"Kenia",2016,"KM3",0
"Mali",2016,"KM3",0
"Südafrika",2016,"KM3",159229
"Tunesien",2016,"KM3",7200
"Argentinien",2016,"KM3",0
"Brasilien",2016,"KM3",3700
"Chile",2016,"KM3",530794
"Kanada",2016,"KM3",80225
"Kolumbien",2016,"KM3",0
"Mexiko",2016,"KM3",0
"Paraguay",2016,"KM3",161955
"USA",2016,"KM3",9322963
"Vereinigte Arabische Emirate",2016,"KM3",0
"Bahrain",2016,"KM3",0
"Bangladesch",2016,"KM3",20
"Brunei",2016,"KM3",114000
"China",2016,"KM3",0
"Georgien",2016,"KM3",0
"Hong-Kong",2016,"KM3",0
"Indien",2016,"KM3",0
"Indonesien",2016,"KM3",3202888
"Israel",2016,"KM3",0
"Japan",2016,"KM3",465931
"Jordanien",2016,"KM3",0
"Katar",2016,"KM3",0
"Südkorea",2016,"KM3",381703
"Kuwait",2016,"KM3",400
"Macau",2016,"KM3",52500
"Malaysia",2016,"KM3",9241222
"Oman",2016,"KM3",2501884
"Pakistan",2016,"KM3",0
"Philippinen",2016,"KM3",0
"Saudi-Arabien",2016,"KM3",0
"Singapur",2016,"KM3",5082377
"Vietnam",2016,"KM3",0
"Australien",2016,"KM3",148452
"Neuseeland",2016,"KM3",300
"Belgien",2000,"KM4",906990
"Dänemark",2000,"KM4",0
"Deutschland",2000,"KM4",254691
"Finnland",2000,"KM4",0
"Frankreich",2000,"KM4",960
"Grossbritannien",2000,"KM4",0
"Griechenland",2000,"KM4",0
"Island",2000,"KM4",0
"Italien",2000,"KM4",12837
"Litauen",2000,"KM4",0
"Luxemburg",2000,"KM4",0
"Malta",2000,"KM4",0
"Niederlande",2000,"KM4",1318837
"Norwegen",2000,"KM4",0
"Österreich",2000,"KM4",0
"Polen",2000,"KM4",0
"Rumänien",2000,"KM4",0
"Schweden",2000,"KM4",772307
"Slowakei",2000,"KM4",0
"Spanien",2000,"KM4",37400
"Tschechien",2000,"KM4",6250
"Ungarn",2000,"KM4",0
"Ägypten",2000,"KM4",0
"Elfenbeinküste",2000,"KM4",0
"Guinea",2000,"KM4",0
"Kenia",2000,"KM4",0
"Niger",2000,"KM4",0
"Südafrika",2000,"KM4",5500
"Sudan",2000,"KM4",0
"Tansania",2000,"KM4",0
"Tunesien",2000,"KM4",0
"Argentinien",2000,"KM4",0
"Barbados",2000,"KM4",0
"Belize",2000,"KM4",0
"Brasilien",2000,"KM4",0
"Chile",2000,"KM4",0
"Ecuador",2000,"KM4",0
"Honduras",2000,"KM4",0
"Kanada",2000,"KM4",0
"El Salvador",2000,"KM4",0
"USA",2000,"KM4",2186289
"Venezuela",2000,"KM4",0
"Vereinigte Arabische Emirate",2000,"KM4",0
"Bahrain",2000,"KM4",0
"Brunei",2000,"KM4",0
"Hong-Kong",2000,"KM4",0
"Japan",2000,"KM4",0
"Jordanien",2000,"KM4",0
"Kuwait",2000,"KM4",0
"Malaysia",2000,"KM4",0
"Oman",2000,"KM4",0
"Pakistan",2000,"KM4",0
"Philippinen",2000,"KM4",0
"Saudi-Arabien",2000,"KM4",0
"Singapur",2000,"KM4",0
"Südkorea",2000,"KM4",0
"Thailand",2000,"KM4",1500
"Belgien",2001,"KM4",292263
"Dänemark",2001,"KM4",0
"Deutschland",2001,"KM4",133891
"Finnland",2001,"KM4",0
"Frankreich",2001,"KM4",1623253
"Grossbritannien",2001,"KM4",5938526
"Griechenland",2001,"KM4",0
"Irland",2001,"KM4",0
"Island",2001,"KM4",0
"Italien",2001,"KM4",426640
"Kasachstan",2001,"KM4",0
"Luxemburg",2001,"KM4",0
"Lettland",2001,"KM4",0
"Litauen",2001,"KM4",0
"Malta",2001,"KM4",0
"Niederlande",2001,"KM4",108960
"Norwegen",2001,"KM4",0
"Österreich",2001,"KM4",0
"Polen",2001,"KM4",0
"Portugal",2001,"KM4",0
"Rumänien",2001,"KM4",0
"Schweden",2001,"KM4",1110839
"Slowakei",2001,"KM4",0
"Slowenien",2001,"KM4",0
"Spanien",2001,"KM4",87750
"Tschechien",2001,"KM4",0
"Türkei",2001,"KM4",0
"Zypern",2001,"KM4",0
"Ägypten",2001,"KM4",0
"Botswana",2001,"KM4",0
"Burkina Faso",2001,"KM4",0
"Elfenbeinküste",2001,"KM4",0
"Gabun",2001,"KM4",0
"Kenia",2001,"KM4",0
"Madagaskar",2001,"KM4",0
"Malawi",2001,"KM4",0
"Südafrika",2001,"KM4",0
"Sudan",2001,"KM4",0
"Sambia",2001,"KM4",0
"Uganda",2001,"KM4",0
"Vereinigte Arabische Emirate",2001,"KM4",0
"Australien",2001,"KM4",0
"Bahrain",2001,"KM4",0
"Hong-Kong",2001,"KM4",0
"Indien",2001,"KM4",0
"Indonesien",2001,"KM4",0
"Japan",2001,"KM4",0
"Jordanien",2001,"KM4",0
"Katar",2001,"KM4",0
"Südkorea",2001,"KM4",0
"Kuwait",2001,"KM4",0
"Macau",2001,"KM4",0
"Malaysia",2001,"KM4",0
"Neuseeland",2001,"KM4",0
"Oman",2001,"KM4",0
"Pakistan",2001,"KM4",0
"Philippinen",2001,"KM4",0
"Saudi-Arabien",2001,"KM4",0
"Singapur",2001,"KM4",0
"Thailand",2001,"KM4",0
"Argentinien",2001,"KM4",0
"Barbados",2001,"KM4",0
"Brasilien",2001,"KM4",0
"Chile",2001,"KM4",0
"Kanada",2001,"KM4",0
"USA",2001,"KM4",0
"Belgien",2002,"KM4",90972
"Bosnien-Herzegowina",2002,"KM4",0
"Bulgarien",2002,"KM4",0
"Dänemark",2002,"KM4",0
"Deutschland",2002,"KM4",171740
"Finnnland",2002,"KM4",0
"Frankreich",2002,"KM4",5913819
"Grossbritannien",2002,"KM4",9147269
"Irland",2002,"KM4",0
"Island",2002,"KM4",0
"Italien",2002,"KM4",173777
"Lettland",2002,"KM4",0
"Luxemburg",2002,"KM4",0
"Niederlande",2002,"KM4",136467
"Norwegen",2002,"KM4",0
"Österreich",2002,"KM4",0
"Polen",2002,"KM4",0
"Rumänien",2002,"KM4",0
"Schweden",2002,"KM4",643912
"Slowakei",2002,"KM4",0
"Spanien",2002,"KM4",0
"Tschechien",2002,"KM4",0
"Türkei",2002,"KM4",0
"Ungarn",2002,"KM4",0
"Ägypten",2002,"KM4",0
"Benin",2002,"KM4",0
"Kap Verde",2002,"KM4",0
"Elfenbeinküste",2002,"KM4",0
"Gabun",2002,"KM4",0
"Südafrika",2002,"KM4",0
"Sudan",2002,"KM4",0
"Tansania",2002,"KM4",0
"Tunesien",2002,"KM4",0
"Argentinien",2002,"KM4",0
"Barbados",2002,"KM4",0
"Brasilien",2002,"KM4",0
"Chile",2002,"KM4",0
"Dominikanische Republik",2002,"KM4",0
"Ecuador",2002,"KM4",0
"Kanada",2002,"KM4",30912
"Macau",2002,"KM4",0
"USA",2002,"KM4",0
"Venezuela",2002,"KM4",0
"Vereinigte Arabische Emirate",2002,"KM4",0
"Bahrain",2002,"KM4",0
"Hong-Kong",2002,"KM4",0
"Israel",2002,"KM4",0
"Japan",2002,"KM4",0
"Jordanien",2002,"KM4",0
"Katar",2002,"KM4",0
"Südkorea",2002,"KM4",0
"Kuwait",2002,"KM4",0
"Malaysia",2002,"KM4",20300
"Oman",2002,"KM4",0
"Philippinen",2002,"KM4",0
"Saudi-Arabien",2002,"KM4",0
"Singapur",2002,"KM4",0
"Thailand",2002,"KM4",0
"Australien",2002,"KM4",0
"Andorra",2003,"KM4",0
"Belgien",2003,"KM4",11550
"Bosnien-Herzegowina",2003,"KM4",0
"Bulgarien",2003,"KM4",0
"Dänemark",2003,"KM4",0
"Deutschland",2003,"KM4",15428
"Estland",2003,"KM4",0
"Finnland",2003,"KM4",0
"Frankreich",2003,"KM4",1030579
"Griechenland",2003,"KM4",0
"Grossbritannien",2003,"KM4",3996435
"Irland",2003,"KM4",0
"Island",2003,"KM4",0
"Italien",2003,"KM4",110083
"Litauen",2003,"KM4",0
"Luxemburg",2003,"KM4",0
"Malta",2003,"KM4",0
"Niederlande",2003,"KM4",0
"Norwegen",2003,"KM4",0
"Österreich",2003,"KM4",73814
"Polen",2003,"KM4",0
"Portugal",2003,"KM4",0
"Rumänien",2003,"KM4",0
"Russland",2003,"KM4",0
"San Marino",2003,"KM4",0
"Schweden",2003,"KM4",18114
"Slowakei",2003,"KM4",0
"Slowenien",2003,"KM4",0
"Spanien",2003,"KM4",0
"Tschechien",2003,"KM4",0
"Türkei",2003,"KM4",0
"Ungarn",2003,"KM4",0
"Ägypten",2003,"KM4",0
"Benin",2003,"KM4",0
"Botswana",2003,"KM4",0
"Gabun",2003,"KM4",0
"Ghana",2003,"KM4",0
"Südafrika",2003,"KM4",0
"Tansania",2003,"KM4",0
"Tunesien",2003,"KM4",0
"Argentinien",2003,"KM4",0
"Barbados",2003,"KM4",0
"Brasilien",2003,"KM4",0
"Chile",2003,"KM4",0
"Dominikanische Republik",2003,"KM4",0
"Kanada",2003,"KM4",0
"USA",2003,"KM4",0
"Vereinigte Arabische Emirate",2003,"KM4",13305289
"Bahrain",2003,"KM4",0
"Indonesien",2003,"KM4",0
"Japan",2003,"KM4",0
"Jordanien",2003,"KM4",0
"Südkorea",2003,"KM4",0
"Kuwait",2003,"KM4",0
"Libanon",2003,"KM4",0
"Macau",2003,"KM4",0
"Malaysia",2003,"KM4",0
"Oman",2003,"KM4",13840
"Pakistan",2003,"KM4",0
"Philippinen",2003,"KM4",0
"Saudi-Arabien",2003,"KM4",0
"Singapur",2003,"KM4",0
"Thailand",2003,"KM4",0
"Australien",2003,"KM4",0
"Neuseeland",2003,"KM4",0
"Belgien",2004,"KM4",2066
"Bosnien-Herzegowina",2004,"KM4",0
"Bulgarien",2004,"KM4",0
"Dänemark",2004,"KM4",0
"Deutschland",2004,"KM4",394821
"Estland",2004,"KM4",0
"Finnland",2004,"KM4",0
"Frankreich",2004,"KM4",126044
"Griechenland",2004,"KM4",0
"Grossbritannien",2004,"KM4",0
"Irland",2004,"KM4",0
"Italien",2004,"KM4",0
"Lettland",2004,"KM4",0
"Litauen",2004,"KM4",0
"Luxemburg",2004,"KM4",0
"Malta",2004,"KM4",0
"Niederlande",2004,"KM4",0
"Norwegen",2004,"KM4",0
"Österreich",2004,"KM4",0
"Polen",2004,"KM4",0
"Portugal",2004,"KM4",0
"Rumänien",2004,"KM4",0
"Russland",2004,"KM4",0
"San Marino",2004,"KM4",0
"Schweden",2004,"KM4",107450
"Slowakei",2004,"KM4",0
"Slowenien",2004,"KM4",0
"Spanien",2004,"KM4",0
"Tschechien",2004,"KM4",0
"Türkei",2004,"KM4",0
"Ungarn",2004,"KM4",0
"Ägypten",2004,"KM4",0
"Botswana",2004,"KM4",0
"Kenia",2004,"KM4",0
"Südafrika",2004,"KM4",0
"Tunesien",2004,"KM4",0
"Argentinien",2004,"KM4",0
"Brasilien",2004,"KM4",0
"Chile",2004,"KM4",0
"Dominikanische Republik",2004,"KM4",0
"Kanada",2004,"KM4",0
"Uruguay",2004,"KM4",0
"USA",2004,"KM4",0
"Vereinigte Arabische Emirate",2004,"KM4",8146231
"Bahrain",2004,"KM4",0
"Hong-Kong",2004,"KM4",0
"Indonesien",2004,"KM4",0
"Japan",2004,"KM4",0
"Jordanien",2004,"KM4",0
"Südkorea",2004,"KM4",0
"Kuwait",2004,"KM4",0
"Libanon",2004,"KM4",0
"Macau",2004,"KM4",0
"Malaysia",2004,"KM4",7536
"Oman",2004,"KM4",0
"Saudi-Arabien",2004,"KM4",0
"Singapur",2004,"KM4",0
"Thailand",2004,"KM4",0
"Australien",2004,"KM4",0
"Belgien",2005,"KM4",5600
"Bosnien-Herzegowina",2005,"KM4",0
"Bulgarien",2005,"KM4",2000
"Dänemark",2005,"KM4",0
"Deutschland",2005,"KM4",611689
"Estland",2005,"KM4",0
"Finnland",2005,"KM4",0
"Frankreich",2005,"KM4",88551
"Griechenland",2005,"KM4",0
"Grossbritannien",2005,"KM4",0
"Irland",2005,"KM4",0
"Island",2005,"KM4",0
"Italien",2005,"KM4",0
"Kasachstan",2005,"KM4",0
"Kirgisistan",2005,"KM4",0
"Kroatien",2005,"KM4",0
"Litauen",2005,"KM4",0
"Luxemburg",2005,"KM4",0
"Malta",2005,"KM4",0
"Niederlande",2005,"KM4",0
"Norwegen",2005,"KM4",8420
"Österreich",2005,"KM4",0
"Polen",2005,"KM4",0
"Portugal",2005,"KM4",0
"Rumänien",2005,"KM4",0
"San Marino",2005,"KM4",0
"Schweden",2005,"KM4",0
"Slowakei",2005,"KM4",0
"Slowenien",2005,"KM4",0
"Spanien",2005,"KM4",89170
"Tschechien",2005,"KM4",0
"Türkei",2005,"KM4",0
"Ungarn",2005,"KM4",0
"Zypern",2005,"KM4",0
"Ägypten",2005,"KM4",142000
"Benin",2005,"KM4",0
"Botswana",2005,"KM4",0
"Burkina Faso",2005,"KM4",0
"Kamerun",2005,"KM4",0
"Libyen",2005,"KM4",0
"Namibia",2005,"KM4",0
"Niger",2005,"KM4",0
"Südafrika",2005,"KM4",0
"Tunesien",2005,"KM4",0
"Argentinien",2005,"KM4",0
"Barbados",2005,"KM4",0
"Brasilien",2005,"KM4",0
"Chile",2005,"KM4",0
"Costa Rica",2005,"KM4",0
"Dominikanische Republik",2005,"KM4",0
"Kanada",2005,"KM4",0
"Peru",2005,"KM4",0
"USA",2005,"KM4",149851
"Vereinigte Arabische Emirate",2005,"KM4",0
"Bahrain",2005,"KM4",0
"Bhutan",2005,"KM4",0
"Brunei",2005,"KM4",0
"Hong-Kong",2005,"KM4",0
"Indien",2005,"KM4",0
"Indonesien",2005,"KM4",0
"Japan",2005,"KM4",0
"Jordanien",2005,"KM4",0
"Kuwait",2005,"KM4",0
"Libanon",2005,"KM4",0
"Macau",2005,"KM4",0
"Malaysia",2005,"KM4",0
"Oman",2005,"KM4",0
"Saudi-Arabien",2005,"KM4",0
"Singapur",2005,"KM4",0
"Thailand",2005,"KM4",0
"Australien",2005,"KM4",28683
"Neuseeland",2005,"KM4",0
"Belgien",2006,"KM4",0
"Bosnien-Herzegowina",2006,"KM4",0
"Bulgarien",2006,"KM4",0
"Dänemark",2006,"KM4",0
"Deutschland",2006,"KM4",314369
"Estland",2006,"KM4",0
"Finnland",2006,"KM4",0
"Frankreich",2006,"KM4",0
"Griechenland",2006,"KM4",0
"Grossbritannien",2006,"KM4",0
"Irland",2006,"KM4",0
"Island",2006,"KM4",0
"Italien",2006,"KM4",0
"Kroatien",2006,"KM4",0
"Lettland",2006,"KM4",0
"Litauen",2006,"KM4",0
"Luxemburg",2006,"KM4",509698
"Niederlande",2006,"KM4",2087139
"Norwegen",2006,"KM4",0
"Österreich",2006,"KM4",0
"Polen",2006,"KM4",0
"Portugal",2006,"KM4",0
"Rumänien",2006,"KM4",0
"San Marino",2006,"KM4",0
"Schweden",2006,"KM4",0
"Slowakei",2006,"KM4",0
"Slowenien",2006,"KM4",0
"Spanien",2006,"KM4",25974
"Tschechien",2006,"KM4",0
"Türkei",2006,"KM4",0
"Ungarn",2006,"KM4",0
"Zypern",2006,"KM4",0
"Ägypten",2006,"KM4",0
"Benin",2006,"KM4",0
"Botswana",2006,"KM4",0
"Guinea-Bissau",2006,"KM4",0
"Kamerun",2006,"KM4",0
"Namibia",2006,"KM4",0
"Niger",2006,"KM4",0
"Südafrika",2006,"KM4",0
"Argentinien",2006,"KM4",0
"Barbados",2006,"KM4",0
"Brasilien",2006,"KM4",0
"Chile",2006,"KM4",0
"Kanada",2006,"KM4",0
"USA",2006,"KM4",0
"Vereinigte Arabische Emirate",2006,"KM4",0
"Bahrain",2006,"KM4",0
"Hong-Kong",2006,"KM4",0
"Indien",2006,"KM4",0
"Japan",2006,"KM4",0
"Jordanien",2006,"KM4",0
"Katar",2006,"KM4",0
"Südkorea",2006,"KM4",0
"Kuwait",2006,"KM4",0
"Macau",2006,"KM4",0
"Malaysia",2006,"KM4",0
"Oman",2006,"KM4",0
"Saudi-Arabien",2006,"KM4",0
"Singapur",2006,"KM4",0
"Australien",2006,"KM4",0
"Neuseeland",2006,"KM4",0
"Belgien",2007,"KM4",0
"Bosnien-Herzegowina",2007,"KM4",0
"Bulgarien",2007,"KM4",0
"Dänemark",2007,"KM4",0
"Deutschland",2007,"KM4",238217
"Estland",2007,"KM4",0
"Finnland",2007,"KM4",0
"Frankreich",2007,"KM4",77952
"Griechenland",2007,"KM4",0
"Grossbritannien",2007,"KM4",0
"Irland",2007,"KM4",0
"Island",2007,"KM4",0
"Italien",2007,"KM4",0
"Kasachstan",2007,"KM4",0
"Kroatien",2007,"KM4",0
"Litauen",2007,"KM4",0
"Luxemburg",2007,"KM4",0
"Malta",2007,"KM4",0
"Niederlande",2007,"KM4",0
"Norwegen",2007,"KM4",0
"Österreich",2007,"KM4",0
"Polen",2007,"KM4",0
"Portugal",2007,"KM4",0
"Rumänien",2007,"KM4",0
"Russland",2007,"KM4",0
"San Marino",2007,"KM4",0
"Schweden",2007,"KM4",0
"Slowakei",2007,"KM4",0
"Slowenien",2007,"KM4",0
"Spanien",2007,"KM4",22373
"Tschechien",2007,"KM4",0
"Türkei",2007,"KM4",0
"Ukraine",2007,"KM4",0
"Ungarn",2007,"KM4",0
"Zypern",2007,"KM4",0
"Ägypten",2007,"KM4",0
"Kenia",2007,"KM4",0
"Niger",2007,"KM4",0
"Südafrika",2007,"KM4",0
"Argentinien",2007,"KM4",0
"Barbados",2007,"KM4",0
"Brasilien",2007,"KM4",0
"Chile",2007,"KM4",0
"Kanada",2007,"KM4",0
"USA",2007,"KM4",0
"Uruguay",2007,"KM4",0
"Venezuela",2007,"KM4",0
"Vereinigte Arabische Emirate",2007,"KM4",0
"Bahrain",2007,"KM4",0
"Hong-Kong",2007,"KM4",0
"Indien",2007,"KM4",0
"Japan",2007,"KM4",0
"Jordanien",2007,"KM4",0
"Katar",2007,"KM4",0
"Südkorea",2007,"KM4",0
"Kuwait",2007,"KM4",0
"Libanon",2007,"KM4",0
"Macau",2007,"KM4",0
"Malaysia",2007,"KM4",0
"Oman",2007,"KM4",0
"Pakistan",2007,"KM4",0
"Saudi-Arabien",2007,"KM4",0
"Singapur",2007,"KM4",0
"Thailand",2007,"KM4",0
"Australien",2007,"KM4",0
"Neuseeland",2007,"KM4",0
"Andorra",2008,"KM4",0
"Belgien",2008,"KM4",204501
"Bosnien-Herzegowina",2008,"KM4",0
"Bulgarien",2008,"KM4",0
"Dänemark",2008,"KM4",1082920
"Deutschland",2008,"KM4",244330
"Estland",2008,"KM4",0
"Finnland",2008,"KM4",0
"Frankreich",2008,"KM4",255917
"Griechenland",2008,"KM4",0
"Grossbritannien",2008,"KM4",0
"Irland",2008,"KM4",1953258
"Island",2008,"KM4",0
"Italien",2008,"KM4",0
"Kasachstan",2008,"KM4",0
"Kroatien",2008,"KM4",0
"Lettland",2008,"KM4",0
"Litauen",2008,"KM4",0
"Luxemburg",2008,"KM4",0
"Malta",2008,"KM4",0
"Niederlande",2008,"KM4",1839778
"Norwegen",2008,"KM4",0
"Österreich",2008,"KM4",0
"Polen",2008,"KM4",0
"Portugal",2008,"KM4",0
"Rumänien",2008,"KM4",0
"Russland",2008,"KM4",0
"San Marino",2008,"KM4",0
"Schweden",2008,"KM4",35900
"Serbien",2008,"KM4",0
"Slowakei",2008,"KM4",0
"Slowenien",2008,"KM4",0
"Spanien",2008,"KM4",0
"Tschechien",2008,"KM4",0
"Türkei",2008,"KM4",2640000
"Ukraine",2008,"KM4",0
"Zypern",2008,"KM4",0
"Ägypten",2008,"KM4",0
"Botswana",2008,"KM4",0
"Ghana",2008,"KM4",0
"Kamerun",2008,"KM4",0
"Kenia",2008,"KM4",0
"Niger",2008,"KM4",0
"Südafrika",2008,"KM4",0
"Tansania",2008,"KM4",0
"Argentinien",2008,"KM4",0
"Brasilien",2008,"KM4",0
"Chile",2008,"KM4",0
"Ecuador",2008,"KM4",0
"Kanada",2008,"KM4",0
"USA",2008,"KM4",1453448
"Vereinigte Arabische Emirate",2008,"KM4",0
"Bahrain",2008,"KM4",0
"Bangladesch",2008,"KM4",0
"Hong-Kong",2008,"KM4",0
"Indien",2008,"KM4",0
"Israel",2008,"KM4",0
"Japan",2008,"KM4",0
"Jordanien",2008,"KM4",8400
"Katar",2008,"KM4",0
"Südkorea",2008,"KM4",144300
"Kuwait",2008,"KM4",0
"Libanon",2008,"KM4",0
"Macau",2008,"KM4",0
"Malaysia",2008,"KM4",3759939
"Oman",2008,"KM4",0
"Pakistan",2008,"KM4",0
"Saudi-Arabien",2008,"KM4",0
"Singapur",2008,"KM4",0
"Thailand",2008,"KM4",0
"Australien",2008,"KM4",0
"Neuseeland",2008,"KM4",0
"Belgien",2009,"KM4",29450
"Bosnien-Herzegowina",2009,"KM4",0
"Bulgarien",2009,"KM4",0
